title,company,location,experience,salary,status,note,applied_at,url
Trainee Software Engineers - Freshers,N/A,Bengaluru,0-2 Yrs,N/A,applied,Submitted successfully,2026-05-01 18:24:18,https://www.naukri.com/job-listings-trainee-software-engineers-freshers-razorthink-bengaluru-0-to-2-years-290426922678
Software Engineer,Posted by Talent Corner HR Services Pvt Ltd,"Bengaluru, Noida, Mumbai",0-2 Yrs,N/A,applied,Submitted successfully,2026-05-01 18:24:31,https://www.naukri.com/job-listings-software-engineer-talent-corner-hr-services-pvt-ltd-noida-mumbai-bengaluru-0-to-2-years-280426929795
"Member of Technical Staff, Fleet Reliability",N/A,Bengaluru,0-1 Yrs,N/A,applied,Apply flow completed,2026-05-01 18:24:59,https://www.naukri.com/job-listings-member-of-technical-staff-fleet-reliability-pure-storage-bengaluru-0-to-1-years-160426504677
Spark Developer,N/A,"Hyderabad, Bengaluru, Kolkata, Mumbai, New Delhi, Pune, Chennai",0-2 Yrs,N/A,applied,Apply flow completed,2026-05-01 18:25:26,https://www.naukri.com/job-listings-spark-developer-appzlogic-mobility-solutions-pvt-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-0-to-2-years-111124502361
Full Stack Developer,N/A,"Hyderabad, Bengaluru, Kolkata, Mumbai, New Delhi, Pune, Chennai",0-3 Yrs,N/A,applied,Apply flow completed,2026-05-01 18:25:54,https://www.naukri.com/job-listings-full-stack-developer-tech-stalwart-solution-private-limited-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-0-to-3-years-040225508253
SOFTWARE ENGINEER,N/A,Hyderabad,0-3 Yrs,N/A,applied,Apply flow completed,2026-05-01 18:26:21,https://www.naukri.com/job-listings-software-engineer-kilonewtons-hyderabad-0-to-3-years-260326501392
Backend Engineer,N/A,Hyderabad,0-2 Yrs,N/A,applied,Apply flow completed,2026-05-01 18:26:48,https://www.naukri.com/job-listings-backend-engineer-tezlogic-hyderabad-0-to-2-years-201125504989
Associate Developer,N/A,Mumbai,0-3 Yrs,N/A,applied,Apply flow completed,2026-05-01 18:27:15,https://www.naukri.com/job-listings-associate-developer-globots-international-limited-mumbai-0-to-3-years-010526501312
Back-End Developer,N/A,"Bengaluru, BTM 2nd Stage",0-5 Yrs,N/A,applied,Submitted successfully,2026-05-01 18:27:29,https://www.naukri.com/job-listings-back-end-developer-qcs-dc-labs-bengaluru-btm-2nd-stage-0-to-5-years-310326912906
CRM 365 Developer,N/A,"Bengaluru, Hubli, Mangaluru, Mysuru, Belgaum",0-5 Yrs,N/A,applied,Apply flow completed,2026-05-01 18:27:56,https://www.naukri.com/job-listings-crm-365-developer-logicplanet-it-services-hubli-mangaluru-mysuru-bengaluru-belgaum-0-to-5-years-240226505156
Full Stack Developer,N/A,Bengaluru,0-2 Yrs,N/A,applied,Apply flow completed,2026-05-01 18:28:24,https://www.naukri.com/job-listings-full-stack-developer-billions-united-bengaluru-0-to-2-years-250725500799
Associate Software Engineer,N/A,"Bengaluru, Gurugram",0-3 Yrs,N/A,applied,Apply flow completed,2026-05-01 18:28:51,https://www.naukri.com/job-listings-associate-software-engineer-legato-health-technologies-llp-gurugram-bengaluru-0-to-3-years-230126503656
Software Development Trainee,N/A,Bengaluru,0-1 Yrs,N/A,applied,Apply flow completed,2026-05-01 18:29:19,https://www.naukri.com/job-listings-software-development-trainee-mrank-bengaluru-0-to-1-years-200326503706
Associate Software Engineer,N/A,Bengaluru,0-3 Yrs,N/A,applied,Apply flow completed,2026-05-01 18:29:46,https://www.naukri.com/job-listings-associate-software-engineer-legato-health-technologies-llp-bengaluru-0-to-3-years-290126510447
Developer,N/A,Bengaluru,0-5 Yrs,N/A,applied,Apply flow completed,2026-05-01 18:30:13,https://www.naukri.com/job-listings-developer-seminal-bengaluru-0-to-5-years-211125501684
Databricks Developer,N/A,Bengaluru,0-5 Yrs,N/A,applied,Apply flow completed,2026-05-01 18:30:40,https://www.naukri.com/job-listings-databricks-developer-diverse-lynx-bengaluru-0-to-5-years-040725502837
Python/ Java Full Stack Trainer,N/A,Virudhunagar,0-5 Yrs,N/A,applied,Apply flow completed,2026-05-01 18:31:07,https://www.naukri.com/job-listings-python-java-full-stack-trainer-getin-technologies-virudhunagar-0-to-5-years-070725502629
Fullstack Developer,Posted by Tele Infotech,"Pimpri-Chinchwad, Pune",0-2 Yrs,N/A,applied,Apply flow completed,2026-05-01 18:31:50,https://www.naukri.com/job-listings-fullstack-developer-tele-infotech-pimpri-chinchwad-pune-0-to-2-years-300426043027
Software Engineer,N/A,"Hyderabad, Bengaluru, Kolkata, Mumbai, New Delhi, Pune, Chennai",0-1 Yrs,N/A,applied,Apply flow completed,2026-05-01 18:32:19,https://www.naukri.com/job-listings-software-engineer-salesasaseva-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-0-to-1-years-250924508423
Software Developer / IT Trainee (Fresher Hiring),N/A,"Hybrid - Pimpri-Chinchwad, Pune",0 Yrs,N/A,applied,Apply flow completed,2026-05-01 18:33:03,https://www.naukri.com/job-listings-software-developer-it-trainee-fresher-hiring-cognition-technology-pimpri-chinchwad-pune-0-to-0-years-280426026276
