title,company,location,experience,salary,status,note,applied_at,url
Fullstack Developer,Akana Services,Mysuru(University of Mysore),0-1 Yrs,N/A,applied,Apply flow completed,2026-05-02 12:38:44,https://www.naukri.com/job-listings-fullstack-developer-akana-services-mysuru-0-to-1-years-200426000615
Associate Software Developer,"Conceptia
4.2125 Reviews",Bengaluru(Banashankari Stage III),0-1 Yrs,N/A,applied,Apply flow completed,2026-05-02 12:39:07,https://www.naukri.com/job-listings-associate-software-developer-conceptia-bengaluru-0-to-1-years-070226004966
Java / SAP / python/ BTP / react/ aws(Multiple Openings),Orcapod Consulting Services,Remote,0-5 Yrs,N/A,applied,Submitted successfully,2026-05-02 12:39:21,https://www.naukri.com/job-listings-java-sap-python-btp-react-aws-multiple-openings-orcapod-consulting-services-hyderabad-0-to-5-years-160426037731
Fresher-Software Engineer,"Skywalk Global
4.619 Reviews","Hyderabad, Thiruvananthapuram",0-6 Yrs,N/A,applied,Apply flow completed,2026-05-02 12:39:48,https://www.naukri.com/job-listings-fresher-software-engineer-skywalk-global-services-hyderabad-thiruvananthapuram-0-to-6-years-010426503764
Backend - Software Engineer (LLMOps),"Paytm
3.29.3K Reviews",Noida,0-3 Yrs,N/A,applied,Apply flow completed,2026-05-02 12:40:32,https://www.naukri.com/job-listings-backend-software-engineer-llmops-one97-communications-limited-noida-0-to-3-years-090426920868
Fullstack Developer,"Testpress Tech Labs Llp
3.914 Reviews",Coimbatore,0-1 Yrs,N/A,applied,Apply flow completed,2026-05-02 12:41:15,https://www.naukri.com/job-listings-fullstack-developer-testpress-tech-labs-llp-coimbatore-0-to-1-years-310326013563
Junior Developer,Galactis Ai Tech,Chennai,0-2 Yrs,N/A,applied,Apply flow completed,2026-05-02 12:41:42,https://www.naukri.com/job-listings-junior-developer-galactis-ai-tech-chennai-0-to-2-years-181225503968
SDE - 1,"Dzylo
4.25 Reviews",Gurugram,0-3 Yrs,N/A,applied,Apply flow completed,2026-05-02 12:42:09,https://www.naukri.com/job-listings-sde-1-dzylo-gurugram-0-to-3-years-160426502273
Software Analyst,"PTC
4.2580 Reviews",Pune,0-2 Yrs,N/A,applied,Apply flow completed,2026-05-02 12:42:52,https://www.naukri.com/job-listings-software-analyst-ptc-software-india-pune-0-to-2-years-140426020797
Junior Developer,Edaya,Thiruvananthapuram,0-2 Yrs,N/A,applied,Apply flow completed,2026-05-02 12:43:19,https://www.naukri.com/job-listings-junior-developer-edaya-app-thiruvananthapuram-0-to-2-years-050226503327
Big Data Developer,NEX Softsys,Rajkot,0-5 Yrs,N/A,applied,Apply flow completed,2026-05-02 12:43:46,https://www.naukri.com/job-listings-big-data-developer-nex-softsys-rajkot-0-to-5-years-041125502085
Trainee Software Developer,"Tipsons Group
4.010 Reviews",Ahmedabad,0-2 Yrs,N/A,applied,Apply flow completed,2026-05-02 12:44:13,https://www.naukri.com/job-listings-trainee-software-developer-tipsons-group-ahmedabad-0-to-2-years-120424501601
Backend Developer,"Requin Solutions
3.954 Reviews",Jaipur,0-1 Yrs,N/A,applied,Apply flow completed,2026-05-02 12:44:39,https://www.naukri.com/job-listings-backend-developer-requin-group-jaipur-0-to-1-years-280625501253
Software Development Engineer Frontend,"Coox Online
3.750 Reviews",Noida,0-2 Yrs,N/A,applied,Apply flow completed,2026-05-02 12:45:06,https://www.naukri.com/job-listings-software-development-engineer-frontend-coox-noida-0-to-2-years-270825502782
Developer,Upkar Leasing And Finance Company,Mumbai,0-4 Yrs,N/A,applied,Apply flow completed,2026-05-02 12:45:33,https://www.naukri.com/job-listings-developer-upkar-leasing-finance-company-mumbai-0-to-4-years-260825503790
Frontend Developer (SDE II),Legistify,Gurugram,0-2 Yrs,N/A,failed,Apply button not found,2026-05-02 12:46:21,https://www.naukri.com/job-listings-frontend-developer-sde-ii-legistify-gurugram-0-to-2-years-221124503737
Mobile App Developer (SDE II),"Legistify
2.011 Reviews",Gurugram,0-2 Yrs,N/A,applied,Apply flow completed,2026-05-02 12:46:49,https://www.naukri.com/job-listings-mobile-app-developer-sde-ii-legistify-gurugram-0-to-2-years-221124503730
Backend Developer (SDE III),"Legistify
2.011 Reviews",Gurugram,0-2 Yrs,N/A,applied,Apply flow completed,2026-05-02 12:47:16,https://www.naukri.com/job-listings-backend-developer-sde-iii-legistify-gurugram-0-to-2-years-221124503729
Backend Developer (SDE II),"Legistify
2.011 Reviews",Gurugram,0-1 Yrs,N/A,applied,Apply flow completed,2026-05-02 12:47:44,https://www.naukri.com/job-listings-backend-developer-sde-ii-legistify-gurugram-0-to-1-years-221124503725
SDE 1,"Coding Ninjas
3.7338 Reviews",Gurugram,0-1 Yrs,N/A,applied,Apply flow completed,2026-05-02 12:48:10,https://www.naukri.com/job-listings-sde-1-coding-ninjas-india-gurugram-0-to-1-years-170326503181
