title,company,location,experience,salary,status,note,applied_at,url
Fullstack Developer,Posted by Tele Infotech,"Pimpri-Chinchwad, Pune",0-2 Yrs,N/A,applied,Submitted successfully,2026-05-02 10:43:56,https://www.naukri.com/job-listings-fullstack-developer-tele-infotech-pimpri-chinchwad-pune-0-to-2-years-300426043027
Software Engineer,N/A,"Hyderabad, Bengaluru, Kolkata, Mumbai, New Delhi, Pune, Chennai",0-1 Yrs,N/A,applied,Apply flow completed,2026-05-02 10:44:24,https://www.naukri.com/job-listings-software-engineer-salesasaseva-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-0-to-1-years-250924508423
Software Developer / IT Trainee (Fresher Hiring),N/A,"Hybrid - Pimpri-Chinchwad, Pune",0 Yrs,N/A,applied,Apply flow completed,2026-05-02 10:44:48,https://www.naukri.com/job-listings-software-developer-it-trainee-fresher-hiring-cognition-technology-pimpri-chinchwad-pune-0-to-0-years-280426026276
Executive | Full Stack Engineer - Rx Engineer,N/A,Hyderabad,0-2 Yrs,N/A,applied,Apply flow completed,2026-05-02 10:45:15,https://www.naukri.com/job-listings-executive-full-stack-engineer-rx-engineer-macquarie-global-services-pvt-ltd-hyderabad-0-to-2-years-110326503547
Executive | Full Stack Engineer,N/A,Hyderabad,0-2 Yrs,N/A,applied,Apply flow completed,2026-05-02 10:45:42,https://www.naukri.com/job-listings-executive-full-stack-engineer-macquarie-global-services-pvt-ltd-hyderabad-0-to-2-years-110326503546
Manager | Full Stack Engineer - Rx Engineer,N/A,Hyderabad,0-2 Yrs,N/A,applied,Apply flow completed,2026-05-02 10:46:09,https://www.naukri.com/job-listings-manager-full-stack-engineer-rx-engineer-macquarie-global-services-pvt-ltd-hyderabad-0-to-2-years-060326500395
Manager | Full Stack Engineer,N/A,Hyderabad,0-2 Yrs,N/A,applied,Apply flow completed,2026-05-02 10:46:36,https://www.naukri.com/job-listings-manager-full-stack-engineer-macquarie-global-services-pvt-ltd-hyderabad-0-to-2-years-040226502510
Associate Software Engineer,N/A,Hyderabad,0-4 Yrs,N/A,applied,Apply flow completed,2026-05-02 10:47:03,https://www.naukri.com/job-listings-associate-software-engineer-knowledgesprint-technologies-india-pvt-ltd-hyderabad-0-to-4-years-030426506143
Associate Software Engineer,N/A,Hyderabad,0-2 Yrs,N/A,applied,Apply flow completed,2026-05-02 10:47:30,https://www.naukri.com/job-listings-associate-software-engineer-qualminds-technologies-pvt-ltd-hyderabad-0-to-2-years-120825503192
Full Stack Developer,N/A,Hyderabad,0-2 Yrs,N/A,applied,Apply flow completed,2026-05-02 10:47:56,https://www.naukri.com/job-listings-full-stack-developer-mocktheta-hyderabad-0-to-2-years-230821501057
Associate Software Engineer,N/A,Hyderabad,0-2 Yrs,N/A,applied,Apply flow completed,2026-05-02 10:48:24,https://www.naukri.com/job-listings-associate-software-engineer-jda-software-hyderabad-0-to-2-years-160126502970
Software Engineer,N/A,Thiruvananthapuram,0-4 Yrs,N/A,failed,Apply button not found,2026-05-02 10:49:03,https://www.naukri.com/job-listings-software-engineer-symsols-thiruvananthapuram-0-to-4-years-180226502915
Fullstack Developer,Posted by Tele Infotech,"Pimpri-Chinchwad, Pune",0-2 Yrs,N/A,failed,"Message: invalid session id; For documentation on this error, please visit: https://www.selenium.dev",2026-05-02 10:49:05,https://www.naukri.com/job-listings-fullstack-developer-tele-infotech-pimpri-chinchwad-pune-0-to-2-years-280426038750
"Java Developer, Fresher, Software Engineer (Apply on FindHR App)",Posted by Obtenir Solutions,"Noida, Gurugram, Delhi / NCR",0 Yrs,N/A,failed,"Message: invalid session id; For documentation on this error, please visit: https://www.selenium.dev",2026-05-02 10:49:07,https://www.naukri.com/job-listings-java-developer-fresher-software-engineer-apply-on-findhr-app-obtenir-solutions-noida-gurugram-delhi-ncr-0-to-0-years-280426005329
Fullstack Developer,Posted by Tele Infotech,"Pimpri-Chinchwad, Pune",0-2 Yrs,N/A,failed,"Message: invalid session id; For documentation on this error, please visit: https://www.selenium.dev",2026-05-02 10:49:09,https://www.naukri.com/job-listings-fullstack-developer-tele-infotech-pimpri-chinchwad-pune-0-to-2-years-260426004445
Software Development Engineer in Test,N/A,Bengaluru,0-5 Yrs,N/A,failed,"Message: invalid session id; For documentation on this error, please visit: https://www.selenium.dev",2026-05-02 10:49:11,https://www.naukri.com/job-listings-software-development-engineer-in-test-chingari-bengaluru-0-to-5-years-190226503183
"System Development Engineer, Region Flexibility Migration (RFM)",N/A,Hyderabad,0-6 Yrs,N/A,failed,"Message: invalid session id; For documentation on this error, please visit: https://www.selenium.dev",2026-05-02 10:49:13,https://www.naukri.com/job-listings-system-development-engineer-region-flexibility-migration-rfm-amazon-development-centre-india-pvt-ltd-hyderabad-0-to-6-years-300426501198
Hire Developer,N/A,Vadodara,0-2 Yrs,N/A,failed,"Message: invalid session id; For documentation on this error, please visit: https://www.selenium.dev",2026-05-02 10:49:15,https://www.naukri.com/job-listings-hire-developer-keyon-webtech-vadodara-0-to-2-years-210426501233
Fullstack Developer,N/A,Mysuru(University of Mysore),0-1 Yrs,N/A,failed,"Message: invalid session id; For documentation on this error, please visit: https://www.selenium.dev",2026-05-02 10:49:17,https://www.naukri.com/job-listings-fullstack-developer-akana-services-mysuru-0-to-1-years-200426000615
Software Developer Intern,N/A,Chennai,0-3 Yrs,N/A,failed,"Message: invalid session id; For documentation on this error, please visit: https://www.selenium.dev",2026-05-02 10:49:19,https://www.naukri.com/job-listings-software-developer-intern-acsys-technologies-chennai-0-to-3-years-200426502326
