title,company,location,experience,salary,status,note,applied_at,url
Jr. Developer,Posted by IDESLABS PRIVATE LIMITED,Hyderabad,0-1 Yrs,N/A,applied,Application submitted,2026-05-01 13:05:32,https://www.naukri.com/job-listings-jr-developer-ideslabs-private-limited-hyderabad-0-to-1-years-230426913288
Software Engineer,Posted by Gra Enterprises Chennai,Chennai,0-5 Yrs,N/A,applied,Application submitted,2026-05-01 13:05:56,https://www.naukri.com/job-listings-software-engineer-gra-enterprises-chennai-chennai-0-to-5-years-210426037677
Junior Developer,N/A,Remote,0-1 Yrs,N/A,applied,Application submitted,2026-05-01 13:06:21,https://www.naukri.com/job-listings-junior-developer-cofounderhubs-remote-0-to-1-years-290426505814
Software Developer Intern,N/A,Bengaluru,0-1 Yrs,N/A,applied,Application submitted,2026-05-01 13:06:46,https://www.naukri.com/job-listings-software-developer-intern-outbox-bengaluru-0-to-1-years-200126505685
Trainee Software Engineer,N/A,Bengaluru,0-1 Yrs,N/A,applied,Application submitted,2026-05-01 13:07:12,https://www.naukri.com/job-listings-trainee-software-engineer-opteamix-bengaluru-0-to-1-years-200326504804
Gaming Developer,N/A,Bengaluru,0-3 Yrs,N/A,applied,Application submitted,2026-05-01 13:07:37,https://www.naukri.com/job-listings-gaming-developer-hunter-tech-ventures-pvt-ltd-bengaluru-0-to-3-years-250624502823
Software Trainer,N/A,Hyderabad,0-2 Yrs,N/A,applied,Application submitted,2026-05-01 13:08:02,https://www.naukri.com/job-listings-software-trainer-mashupstack-hyderabad-0-to-2-years-230625501255
SF Developer,N/A,Chennai,0-3 Yrs,N/A,applied,Application submitted,2026-05-01 13:08:27,https://www.naukri.com/job-listings-sf-developer-lorventech-solutions-india-pvt-ltd-chennai-0-to-3-years-090326502170
Odoo Developer,N/A,Chennai,0-3 Yrs,N/A,applied,Application submitted,2026-05-01 13:08:52,https://www.naukri.com/job-listings-odoo-developer-gnh-software-india-pvt-ltd-chennai-0-to-3-years-071125501202
"Software Dev Engineer I, Amazon University Talent Acquisition",N/A,Bengaluru,0-5 Yrs,N/A,applied,Application submitted,2026-05-01 13:09:17,https://www.naukri.com/job-listings-software-dev-engineer-i-amazon-university-talent-acquisition-amazon-development-centre-india-pvt-ltd-bengaluru-0-to-5-years-031025501184
Golang developer,N/A,"Bengaluru, Hubli, Mangaluru, Mysuru, Belgaum",0-5 Yrs,N/A,applied,Application submitted,2026-05-01 13:09:42,https://www.naukri.com/job-listings-golang-developer-logicplanet-it-services-hubli-mangaluru-mysuru-bengaluru-belgaum-0-to-5-years-240226505121
Unity Game Developer,N/A,Hyderabad,0-2 Yrs,N/A,failed,Apply button not found,2026-05-01 13:09:51,https://www.naukri.com/job-listings-unity-game-developer-7seasent-hyderabad-0-to-2-years-020326502487
Avionics System Engineer,N/A,Bengaluru,0-3 Yrs,N/A,failed,"Message: no such window: target window already closed
from unknown error: web view not found
  (Sess",2026-05-01 13:09:54,https://www.naukri.com/job-listings-avionics-system-engineer-digantara-bengaluru-0-to-3-years-241225504001
Staff Software Engineer MLOps,N/A,Bengaluru,0-5 Yrs,N/A,failed,"Message: no such window: target window already closed
from unknown error: web view not found
  (Sess",2026-05-01 13:09:57,https://www.naukri.com/job-listings-staff-software-engineer-mlops-toast-bengaluru-0-to-5-years-120226503998
Junior Software Developer,N/A,Bengaluru,0-2 Yrs,N/A,failed,"Message: no such window: target window already closed
from unknown error: web view not found
  (Sess",2026-05-01 13:10:00,https://www.naukri.com/job-listings-junior-software-developer-eyesoncloud-bengaluru-0-to-2-years-090326500008
AI Automation Engineer,N/A,"Hyderabad, Bengaluru, Chennai, Kolkata, Mumbai, New Delhi, Pune",0-3 Yrs,N/A,failed,"Message: no such window: target window already closed
from unknown error: web view not found
  (Sess",2026-05-01 13:10:03,https://www.naukri.com/job-listings-ai-automation-engineer-r-c-w-m-a-s-global-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-0-to-3-years-040825507252
Trainee Software Developer,N/A,Indore,0-1 Yrs,N/A,failed,"Message: no such window: target window already closed
from unknown error: web view not found
  (Sess",2026-05-01 13:10:06,https://www.naukri.com/job-listings-trainee-software-developer-cyber-infrastructure-indore-0-to-1-years-270426028679
Software Engineer,N/A,New Delhi,0-1 Yrs,N/A,failed,"Message: no such window: target window already closed
from unknown error: web view not found
  (Sess",2026-05-01 13:10:09,https://www.naukri.com/job-listings-software-engineer-geotrackers-new-delhi-0-to-1-years-170326503675
Freshers BCA | MCA | B.Tech - CS | IT | EC | EEE | ME | Civil,Posted by Renovision Automation Services (RASPL),"Noida, Ghaziabad, Bulandshahr, Meerut, Greater Noida, Delhi / NCR",0 Yrs,N/A,failed,"Message: no such window: target window already closed
from unknown error: web view not found
  (Sess",2026-05-01 13:10:12,https://www.naukri.com/job-listings-freshers-bca-mca-b-tech-cs-it-ec-eee-me-civil-renovision-automation-services-raspl-noida-ghaziabad-bulandshahr-meerut-greater-noida-delhi-ncr-0-to-0-years-240725028872
Trainee Software Developer,N/A,Indore,0-1 Yrs,N/A,failed,"Message: no such window: target window already closed
from unknown error: web view not found
  (Sess",2026-05-01 13:10:15,https://www.naukri.com/job-listings-trainee-software-developer-cyber-infrastructure-indore-0-to-1-years-230426033455
