title,company,location,experience,salary,status,note,applied_at,url
Full Stack Developer,"Shipgig Ventures
1.910 Reviews",Noida,0-2 Yrs,N/A,applied,Apply flow completed,2026-05-10 18:18:59,https://www.naukri.com/job-listings-full-stack-developer-shipgig-ventures-noida-0-to-2-years-070526501715
Trainee Software Engineer,"Netnautix Technologies
3.94 Reviews",Hybrid - Pune,0-1 Yrs,N/A,applied,Apply flow completed,2026-05-10 18:19:24,https://www.naukri.com/job-listings-trainee-software-engineer-netnautix-technologies-private-limited-pune-0-to-1-years-050526033762
Associate Software Engineer,BA Products And Systems India Pvt Ltd(BAPS Consulting),Coimbatore,0-1 Yrs,N/A,applied,Apply flow completed,2026-05-10 18:19:48,https://www.naukri.com/job-listings-associate-software-engineer-ba-products-and-systems-india-pvt-ltd-baps-consulting-coimbatore-0-to-1-years-040526006836
Fullstack Developer,MNC,"Pimpri-Chinchwad, Pune",0-2 Yrs,N/A,applied,Submitted successfully,2026-05-10 18:20:02,https://www.naukri.com/job-listings-fullstack-developer-tele-infotech-pimpri-chinchwad-pune-0-to-2-years-070526034033
Fullstack Developer,Anusha Bazaar Technologies,Hyderabad,0-1 Yrs,N/A,applied,Submitted successfully,2026-05-10 18:20:16,https://www.naukri.com/job-listings-fullstack-developer-anusha-bazaar-technologies-hyderabad-0-to-1-years-080526023929
Associate Software Developer,"Conceptia
4.2125 Reviews",Bengaluru(Banashankari Stage III),0-1 Yrs,N/A,applied,Apply flow completed,2026-05-10 18:20:40,https://www.naukri.com/job-listings-associate-software-developer-conceptia-bengaluru-0-to-1-years-070226004966
Fullstack Developer,Akana Services,Mysuru(University of Mysore),0-1 Yrs,N/A,applied,Apply flow completed,2026-05-10 18:21:04,https://www.naukri.com/job-listings-fullstack-developer-akana-services-mysuru-0-to-1-years-200426000615
Software Analyst,"PTC
4.2581 Reviews",Pune,0-2 Yrs,N/A,applied,Apply flow completed,2026-05-10 18:21:28,https://www.naukri.com/job-listings-software-analyst-ptc-software-india-pune-0-to-2-years-140426020797
Apprentice,Careernet,Bengaluru,0-1 Yrs,N/A,applied,Submitted successfully,2026-05-10 18:21:42,https://www.naukri.com/job-listings-apprentice-careernet-bengaluru-0-to-1-years-080526032817
Software Developer (AI Agent Developer),"Fujitsu
3.83K Reviews",Hybrid - Bengaluru,0-2 Yrs,N/A,applied,Apply flow completed,2026-05-10 18:22:06,https://www.naukri.com/job-listings-software-developer-ai-agent-developer-fujitsu-bengaluru-0-to-2-years-130126024599
Full Stack Developer Intern,"Hawk Sense Business Solutions
2.77 Reviews",Hyderabad,0-3 Yrs,N/A,applied,Apply flow completed,2026-05-10 18:22:35,https://www.naukri.com/job-listings-full-stack-developer-intern-hawk-sense-business-solutions-hyderabad-0-to-3-years-130126505593
Software Developer (Frontend/Backend/Full Stack),Straina Technologies,Hyderabad,0-5 Yrs,N/A,applied,Apply flow completed,2026-05-10 18:23:03,https://www.naukri.com/job-listings-software-developer-frontend-backend-full-stack-straina-technologies-hyderabad-0-to-5-years-110725500478
Technical Support Hybrid Cloud Services,Stratsol Software Systems,"Bengaluru, Kolkata, Gurugram",0-1 Yrs,N/A,applied,Submitted successfully,2026-05-10 18:23:16,https://www.naukri.com/job-listings-technical-support-hybrid-cloud-services-stratsol-software-systems-kolkata-gurugram-bengaluru-0-to-1-years-290426010059
Fresher,"Secure Application
4.29 Reviews","Bengaluru, New Delhi, Chennai",0-1 Yrs,N/A,applied,Apply flow completed,2026-05-10 18:23:45,https://www.naukri.com/job-listings-fresher-secure-application-new-delhi-chennai-bengaluru-0-to-1-years-270426500299
Automation Testing C# Python Expert,"Logic Planet
2.866 Reviews","Bengaluru, Hubli, Mangaluru, Mysuru, Belgaum",0-5 Yrs,N/A,applied,Apply flow completed,2026-05-10 18:24:14,https://www.naukri.com/job-listings-automation-testing-c-python-expert-logicplanet-it-services-hubli-mangaluru-mysuru-bengaluru-belgaum-0-to-5-years-240226505113
AI Workflow Trainee,"Shipgig Ventures
1.910 Reviews",Noida,0-1 Yrs,N/A,applied,Apply flow completed,2026-05-10 18:24:43,https://www.naukri.com/job-listings-ai-workflow-trainee-shipgig-ventures-noida-0-to-1-years-070526501645
Assistant Prof./Associate Prof./Professor,Echelon Educational And Welfare Society,Faridabad,0-5 Yrs,N/A,applied,Apply flow completed,2026-05-10 18:25:08,https://www.naukri.com/job-listings-assistant-prof-associate-prof-professor-echelon-educational-and-welfare-society-faridabad-0-to-5-years-060526035730
Assistant Prof./Associate Prof./Professor,Echelon Educational And Welfare Society,Faridabad,0-5 Yrs,N/A,applied,Apply flow completed,2026-05-10 18:25:32,https://www.naukri.com/job-listings-assistant-prof-associate-prof-professor-echelon-educational-and-welfare-society-faridabad-0-to-5-years-060526034565
Senior Developer - I,"Cloud Analogy
2.75 Reviews",Noida,0-2 Yrs,N/A,applied,Apply flow completed,2026-05-10 18:26:01,https://www.naukri.com/job-listings-senior-developer-i-cloud-analogy-noida-0-to-2-years-040526501085
Neurologist,"Chaitanyahr Consultancy
3.62 Reviews",Karnal,0-4 Yrs,N/A,applied,Apply flow completed,2026-05-10 18:26:30,https://www.naukri.com/job-listings-neurologist-chaitanyahr-consultancy-karnal-0-to-4-years-060526504796
