title,company,location,experience,salary,status,note,applied_at,url
Software Engineer /Developer /Programmer,Coriolis Tech,"Hyderabad, Bengaluru, Pune",0-1 Yrs,N/A,applied,Submitted successfully,2026-05-07 14:23:17,https://www.naukri.com/job-listings-software-engineer-developer-programmer-coriolis-tech-hyderabad-pune-bengaluru-0-to-1-years-060526032391
Junior Software Developer,"Nemetschek
4.112 Reviews",Bengaluru,0-2 Yrs,N/A,applied,Apply flow completed,2026-05-07 14:23:45,https://www.naukri.com/job-listings-junior-software-developer-nemetschek-india-pvt-ltd-bengaluru-0-to-2-years-060526500292
Software Engineer,Medi tech hire,"Hybrid - Bengaluru, Mysuru, Shimoga",0 Yrs,N/A,applied,Submitted successfully,2026-05-07 14:23:59,https://www.naukri.com/job-listings-software-engineer-medi-tech-hire-mysuru-shimoga-bengaluru-0-to-0-years-070526016685
AI Data & Full Stack Engineer,"Shahi
3.92.2K Reviews",Bengaluru,0-1 Yrs,N/A,applied,Apply flow completed,2026-05-07 14:24:22,https://www.naukri.com/job-listings-ai-data-full-stack-engineer-shahi-bengaluru-0-to-1-years-040526011718
CFCO - 1422 - AI Automation Engineer,"Softbiz Solutions
5.03 Reviews",Kochi,0-2 Yrs,N/A,applied,Apply flow completed,2026-05-07 14:24:50,https://www.naukri.com/job-listings-cfco-1422-ai-automation-engineer-softbiz-solutions-pvt-ltd-kochi-0-to-2-years-060526500063
Trainee software Engineer,"Tantransh Solutions
4.75 Reviews",Nagpur,0-1 Yrs,N/A,applied,Apply flow completed,2026-05-07 14:25:17,https://www.naukri.com/job-listings-trainee-software-engineer-tantransh-solutions-nagpur-0-to-1-years-060526502825
Trainee Software Engineer,"Netnautix Technologies
3.94 Reviews",Hybrid - Pune,0-1 Yrs,N/A,applied,Apply flow completed,2026-05-07 14:25:40,https://www.naukri.com/job-listings-trainee-software-engineer-netnautix-technologies-private-limited-pune-0-to-1-years-050526033762
Solution developer,"Infoaxon Technologies India
3.058 Reviews",Noida,0-4 Yrs,N/A,applied,Apply flow completed,2026-05-07 14:26:07,https://www.naukri.com/job-listings-solution-developer-infoaxon-technologies-india-pvt-ltd-noida-0-to-4-years-050526501701
"Java Developer, Fresher, Software Engineer (Apply on FindHR App)",MNC,"Noida, Gurugram, Delhi / NCR",0 Yrs,N/A,applied,Submitted successfully,2026-05-07 14:26:21,https://www.naukri.com/job-listings-java-developer-fresher-software-engineer-apply-on-findhr-app-obtenir-solutions-noida-gurugram-delhi-ncr-0-to-0-years-070526017149
Software Engineer,Asiantechservices,"Hybrid - Salem, Chennai, Coimbatore",0-1 Yrs,N/A,applied,Submitted successfully,2026-05-07 14:26:35,https://www.naukri.com/job-listings-software-engineer-medi-tech-hire-salem-chennai-coimbatore-0-to-1-years-070526016105
Associate Software Engineer,BA Products And Systems India Pvt Ltd(BAPS Consulting),Coimbatore,0-1 Yrs,N/A,applied,Apply flow completed,2026-05-07 14:26:59,https://www.naukri.com/job-listings-associate-software-engineer-ba-products-and-systems-india-pvt-ltd-baps-consulting-coimbatore-0-to-1-years-040526006836
"System Development Engineer, Region Flexibility Migration (RFM)","Amazon
3.931.4K Reviews",Hyderabad,0-6 Yrs,N/A,applied,Apply flow completed,2026-05-07 14:27:27,https://www.naukri.com/job-listings-system-development-engineer-region-flexibility-migration-rfm-amazon-development-centre-india-pvt-ltd-hyderabad-0-to-6-years-060526503864
Associate Software Developer,"Conceptia
4.2125 Reviews",Bengaluru(Banashankari Stage III),0-1 Yrs,N/A,applied,Apply flow completed,2026-05-07 14:27:51,https://www.naukri.com/job-listings-associate-software-developer-conceptia-bengaluru-0-to-1-years-070226004966
Software Development Engineer,"Mountblue Technologies
3.3103 Reviews",Bengaluru,0-4 Yrs,N/A,applied,Apply flow completed,2026-05-07 14:28:19,https://www.naukri.com/job-listings-software-development-engineer-mountblue-technologies-bengaluru-0-to-4-years-170122500370
Fullstack Developer,Akana Services,Mysuru(University of Mysore),0-1 Yrs,N/A,applied,Apply flow completed,2026-05-07 14:28:43,https://www.naukri.com/job-listings-fullstack-developer-akana-services-mysuru-0-to-1-years-200426000615
Software Analyst,"PTC
4.2581 Reviews",Pune,0-2 Yrs,N/A,applied,Apply flow completed,2026-05-07 14:29:07,https://www.naukri.com/job-listings-software-analyst-ptc-software-india-pune-0-to-2-years-140426020797
Midlevel Backend Developer,"JPR Systems
1.03 Reviews",Jaipur,0-3 Yrs,N/A,applied,Apply flow completed,2026-05-07 14:29:35,https://www.naukri.com/job-listings-midlevel-backend-developer-jpr-systems-jaipur-0-to-3-years-120925502400
Back-End Developer,"Prayatna-centre For Child Development-cochin
4.48 Reviews",Kochi,0-2 Yrs,N/A,applied,Apply flow completed,2026-05-07 14:30:04,https://www.naukri.com/job-listings-back-end-developer-prayatna-centre-for-child-development-cochin-kochi-0-to-2-years-040725502846
Full Stack Developer,"Saral Erp Solutions
4.14 Reviews",Meerut,0-1 Yrs,N/A,applied,Apply flow completed,2026-05-07 14:30:32,https://www.naukri.com/job-listings-full-stack-developer-saral-erp-solutions-p-ltd-meerut-meerut-0-to-1-years-040226501144
SOFTWARE INTERN,Netlyft Technologies,Kochi,0-3 Yrs,N/A,applied,Apply flow completed,2026-05-07 14:30:59,https://www.naukri.com/job-listings-software-intern-netlyft-technologies-kochi-0-to-3-years-030925500312
