title,company,location,experience,salary,status,note,applied_at,url
Software Trainee,Genitech Software Solutions Private Limi...,Hyderabad,0 Yrs,N/A,applied,Submitted successfully,2026-05-03 20:26:44,https://www.naukri.com/job-listings-software-trainee-genitech-software-solutions-hyderabad-0-to-0-years-020526004777
Fullstack Developer,Akana Services,Mysuru(University of Mysore),0-1 Yrs,N/A,applied,Apply flow completed,2026-05-03 20:27:06,https://www.naukri.com/job-listings-fullstack-developer-akana-services-mysuru-0-to-1-years-200426000615
Associate Software Developer,"Conceptia
4.2125 Reviews",Bengaluru(Banashankari Stage III),0-1 Yrs,N/A,applied,Apply flow completed,2026-05-03 20:27:29,https://www.naukri.com/job-listings-associate-software-developer-conceptia-bengaluru-0-to-1-years-070226004966
Backend - Software Engineer (LLMOps),"Paytm
3.29.3K Reviews",Noida,0-3 Yrs,N/A,applied,Submitted successfully,2026-05-03 20:27:42,https://www.naukri.com/job-listings-backend-software-engineer-llmops-one97-communications-limited-noida-0-to-3-years-090426920868
Junior Developer,Galactis Ai Tech,Chennai,0-2 Yrs,N/A,applied,Apply flow completed,2026-05-03 20:28:10,https://www.naukri.com/job-listings-junior-developer-galactis-ai-tech-chennai-0-to-2-years-181225503968
SDE - 1,"Dzylo
4.25 Reviews",Gurugram,0-3 Yrs,N/A,applied,Apply flow completed,2026-05-03 20:28:38,https://www.naukri.com/job-listings-sde-1-dzylo-gurugram-0-to-3-years-160426502273
Software Analyst,"PTC
4.2580 Reviews",Pune,0-2 Yrs,N/A,applied,Apply flow completed,2026-05-03 20:29:03,https://www.naukri.com/job-listings-software-analyst-ptc-software-india-pune-0-to-2-years-140426020797
Junior Developer,Edaya,Thiruvananthapuram,0-2 Yrs,N/A,applied,Apply flow completed,2026-05-03 20:29:30,https://www.naukri.com/job-listings-junior-developer-edaya-app-thiruvananthapuram-0-to-2-years-050226503327
Trainee Software Developer,"Tipsons Group
4.010 Reviews",Ahmedabad,0-2 Yrs,N/A,applied,Apply flow completed,2026-05-03 20:29:58,https://www.naukri.com/job-listings-trainee-software-developer-tipsons-group-ahmedabad-0-to-2-years-120424501601
Backend Developer,"Requin Solutions
3.954 Reviews",Jaipur,0-1 Yrs,N/A,applied,Apply flow completed,2026-05-03 20:30:27,https://www.naukri.com/job-listings-backend-developer-requin-group-jaipur-0-to-1-years-280625501253
Software Development Engineer Frontend,"Coox Online
3.750 Reviews",Noida,0-2 Yrs,N/A,applied,Apply flow completed,2026-05-03 20:30:57,https://www.naukri.com/job-listings-software-development-engineer-frontend-coox-noida-0-to-2-years-270825502782
Developer,Upkar Leasing And Finance Company,Mumbai,0-4 Yrs,N/A,applied,Apply flow completed,2026-05-03 20:31:27,https://www.naukri.com/job-listings-developer-upkar-leasing-finance-company-mumbai-0-to-4-years-260825503790
Frontend Developer (SDE II),"Legistify
2.011 Reviews",Gurugram,0-2 Yrs,N/A,applied,Apply flow completed,2026-05-03 20:31:55,https://www.naukri.com/job-listings-frontend-developer-sde-ii-legistify-gurugram-0-to-2-years-221124503737
Mobile App Developer (SDE II),"Legistify
2.011 Reviews",Gurugram,0-2 Yrs,N/A,applied,Apply flow completed,2026-05-03 20:32:23,https://www.naukri.com/job-listings-mobile-app-developer-sde-ii-legistify-gurugram-0-to-2-years-221124503730
Backend Developer (SDE III),"Legistify
2.011 Reviews",Gurugram,0-2 Yrs,N/A,applied,Apply flow completed,2026-05-03 20:32:51,https://www.naukri.com/job-listings-backend-developer-sde-iii-legistify-gurugram-0-to-2-years-221124503729
Backend Developer (SDE II),"Legistify
2.011 Reviews",Gurugram,0-1 Yrs,N/A,applied,Apply flow completed,2026-05-03 20:33:19,https://www.naukri.com/job-listings-backend-developer-sde-ii-legistify-gurugram-0-to-1-years-221124503725
SDE 1,"Coding Ninjas
3.7338 Reviews",Gurugram,0-1 Yrs,N/A,applied,Apply flow completed,2026-05-03 20:33:47,https://www.naukri.com/job-listings-sde-1-coding-ninjas-india-gurugram-0-to-1-years-170326503181
Back End Developer,Visione Infotech,Surat,0-2 Yrs,N/A,applied,Apply flow completed,2026-05-03 20:34:14,https://www.naukri.com/job-listings-back-end-developer-visioneinfotech-surat-0-to-2-years-160724500960
Unity Game Developer,"Lufick
4.28 Reviews",Gurugram,0-1 Yrs,N/A,applied,Apply flow completed,2026-05-03 20:34:42,https://www.naukri.com/job-listings-unity-game-developer-lufick-gurugram-0-to-1-years-140524501565
Backend Developer,Yukthi Marketing,Vijayawada,0-2 Yrs,N/A,applied,Apply flow completed,2026-05-03 20:35:11,https://www.naukri.com/job-listings-backend-developer-yukthi-marketing-pvt-ltd-vijayawada-0-to-2-years-140125502554
